Item,Function,Quantity,Description,PartNumber,Vendor
1,CONNECTOR,2,CONN HEAD 6 POS 2.54 LEVER W/SR,732-5443-ND,digikey
2,CABLE,1,CBL RIBN 24COND TWIST-PAIR 100FEET,3M156259-100-ND,digikey
